-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
80,Data Scientist,$37.53 - $53.58 Per Hour (Employer est.),"Must provide own transportation or, in order to operate a state vehicle, you must have a valid driver license. Childbirth, Adoption, and Foster Care leave.…
Skills: Data mining, R, Tableau, SQL, Machine learning",3.9,State of Ohio Jobs,"Columbus, OH",10000+ Employees,1803,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
81,Data Scientist II (Hybrid),$109K - $154K (Glassdoor est.),"Familiar with statistical analysis techniques, such as chi-squared test, t-test, ANOVA, regression analysis, sampling design, and time series; able to draw……
Skills: Power BI, Management, SAS, R, Data analysis skills",3.4,American Medical Association,"Chicago, IL",501 to 1000 Employees,1847,Nonprofit Organization,Membership Organizations,Management & Consulting,$100 to $500 million (USD)
82,Data Scientist,$120K - $160K (Employer est.),"Stay up-to-date, constantly learning about advances in the field, and deliver periodic presentations to internal teams on these developments.…
Skills: Computer science, Big data, Java, AWS, C++",3.7,Norstella,Remote,1001 to 5000 Employees,--,Company - Private,Biotechnology,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
83,Data Scientist,$117K - $211K (Employer est.),"Collaborate with other Data Scientists and other customer organizations to develop processes and tools to monitor and analyze model performance and data……
Skills: AWS, Machine learning, Data science, AI, Python",4,Parsons,Maryland,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
84,Statistician Intermediate,$60K - $94K (Glassdoor est.),"Prior experience in the medical research field is preferred. Support the collaborative team with quality improvement including patient, physician, and practice……
Skills: Statistical software, SAS, R, Research, Stata",4.3,University of Michigan,"Ann Arbor, MI",10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
85,Data Scientist – Prognostics,$85K - $125K (Glassdoor est.),"3+ years of experience of practicing statistical methods and their accurate application e.g. ANOVA, principal component analysis, correspondence analysis, k……
Skills: MATLAB, Signal processing, Data structures, Spark, R",4,Ford Motor Company,"Dearborn, MI",10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
86,Associate Data Science Analyst-Kumar - Hematology,$75K - $112K (Employer est.),"Bachelor’s degree in a domain-relevant field such as engineering, mathematics, computer science, statistics, physics, data science, health science, or other……
Skills: Data mining, Customer service, Analysis skills, Supervising experience, Machine learning",3.9,Mayo Clinic,"Rochester, MN",10000+ Employees,--,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
87,IT Data Scientist,$115K - $260K (Employer est.),"Conducts end-to-end analysis, including data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.…
Skills: CI/CD, Statistics, Computer science, Power BI, Cloud infrastructure",3.9,Costco Wholesale,"Seattle, WA",10000+ Employees,1976,Company - Public,General Merchandise & Superstores,Retail & Wholesale,Unknown / Non-Applicable
88,Data Scientist,-1,"Ability to plan sequence of experiments to answer complicated technical questions. Education/Experience: Incumbent professional should have a Ph.D. or master's……
Skills: Statistics, MATLAB, Data mining, R, Git",3.4,"Signature Science, LLC",New Jersey,51 to 200 Employees,--,Company - Private,Business Consulting,Management & Consulting,$25 to $100 million (USD)
89,Data Scientist II,$102K - $145K (Glassdoor est.),"The Data Scientist II has a breadth of expertise in data science methodologies and techniques and can select appropriate tools for accessing and cleansing data,……
Skills: Data mining, SAS, Software deployment, Data structures, R",4.4,Les Schwab,"Bend, OR",5001 to 10000 Employees,1952,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD)
90,"Data Scientist, Predictive Modeling",$73K - $121K (Glassdoor est.),"Use your heavy statistical and econometric background to build state-of-the-art predictive models that estimate risk at all steps of the purchase process.…
Skills: MATLAB, SAS, R, English, Research",3.4,Carvana,"Tempe, AZ",10000+ Employees,2013,Company - Public,Vehicle Dealers,Retail & Wholesale,Unknown / Non-Applicable
91,"Supervisor, Data Labeling",$40K - $72K (Glassdoor est.),"Work directly with engineers and Autopilot leadership and own annotation policies that require an understanding of both technical and operational constraints.…
Skills: Jira, Microsoft Excel, Confluence, Kronos, Leadership",3.5,Tesla,"Draper, UT",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
92,HR Decision Scientist,$123K - $150K (Employer est.),"Strength in analyzing data and developing machine-learning models in one or more data science programming language such as R or Python.…
Skills: Cognos, Data mining, R, Alteryx, Tableau",3.8,Disney,"Burbank, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
93,Data Scientist I - School of Biomedical Informatics,$62K - $106K (Glassdoor est.),"Master’s degree in health care, management, mathematics, engineering, informatics, or a related field. Apply a variety of methods such as statistical analysis,……
Skills: Statistics, MATLAB, Microsoft Excel, Data mining, XML",3.8,UTHealth Houston,"Houston, TX",5001 to 10000 Employees,1972,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
94,Supply Chain Data Scientist,$100K - $120K (Employer est.),"They shall provide technical staff with competencies in data science and data engineering that will specifically focus on data science workflow automation and……
Skills: Power BI, Business intelligence, Data analysis skills, Tableau, Analysis skills",3.8,American Bureau of Shipping (ABS),"Arlington, VA",1001 to 5000 Employees,1862,Self-employed,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 billion (USD)
95,Quantitative Researcher,-1,"C++ and object oriented programming. Bachelor’s degree (or higher) in Computer Science, Physics, Applied Sciences, Mathematics, and Engineering from a top……
Skills: Statistics, MATLAB, Signal processing, R, OOP",-1,Aresfi,"Incline Village, NV",-1,-1,-1,-1,-1,-1
96,Data Scientist,$175K - $235K (Employer est.),"Assist FDA scientists in the aggregation and visualization of FDAs internal clinical trial datasets to facilitate regulatory science and advance innovative……
Skills: MATLAB, SAS, R, Machine learning, CDISC standards",2.8,Brillient Corporation,"Silver Spring, MD",1001 to 5000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
97,Decision Scientist,$95K - $145K (Employer est.),"Master’s degree (U.S. or foreign equivalent) in Data Analytics, Data Science or related field and one (1) year of experience in the job offered or related role……
Skills: Kubernetes, Tableau, Linux, Analytics",4.1,"Red Hat, Inc.",North Carolina,10000+ Employees,1993,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
98,Data Scientist,$86K - $120K (Glassdoor est.),"Strong communications skills to both technical and non-technical audiences, ability to explain complex modeling approaches in simple terms and develop……
Skills: TensorFlow, Computer science, Data modeling, Military, Data analysis skills",3.8,NTT DATA,"Nashville, TN",10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
99,Data Scientist,$70K - $126K (Glassdoor est.),"2+ years’ experience across data science disciplines including but not limited to: forecasting exploratory data analysis experiment design machine learning……
Skills: MATLAB, Pricing, Management, SAS, C#",4,Royal Caribbean Group,"Miami, FL",10000+ Employees,1968,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$5 to $10 billion (USD)
100,Applied Data Scientist,$76K - $113K (Glassdoor est.),"Education Required: Bachelor’s Degree in a quantitative discipline, such as Data Science, Mathematics, Computer Science, Engineering, or a related field.…
Skills: R, Machine learning, Scripting, AI, Python",4.1,Doosan Bobcat NA US,"West Fargo, ND",1001 to 5000 Employees,1947,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable
101,Associate Data Scientist Genomic Medicine,-1,"The position is focused on discovery of cancer-driving epigenome-networks by applying computational methods for the analysis of single cell multiome and spatial……
Skills: R, Analysis skills, Software development, Communication skills, Python",4.1,MD Anderson Cancer Center,"Houston, TX",10000+ Employees,1941,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD)
102,"Lead Data Scientist, Partnership Growth",$107K - $177K (Glassdoor est.),"We started with insurance in 2019, and since then we’ve launched loan refinancing, real-time driving insights, a repair marketplace, car diagnostics, and a……
Skills: SQL, Acquisition strategy, Machine learning, Python",3.4,Jerry,"Washington, DC",201 to 500 Employees,2017,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable
103,Data Scientist,$104K - $160K (Glassdoor est.),"Advanced degree (Ph.D. or M.Sc.) in Data Science, Bioinformatics, Computational Biology, or a related field. Cloud-based data science experience (AWS preferred)……
Skills: Statistics, R, Research, AWS, Machine learning",3.3,Compugen USA,"San Francisco, CA",1001 to 5000 Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
104,Applied Scientist,$129K - $213K (Employer est.),"MS or Ph.D. in relevant field or a Degree with a specialization in Machine Learning. Dependent on the position offered, equity, sign-on payments, and other……
Skills: TensorFlow, Statistics, SQL, Analysis skills, Machine learning",3.7,"Twitch Interactive, Inc.","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
105,Applied Scientist with Forecasting Experience (Full Time),$80K - $149K (Glassdoor est.),"Retrieving, synthesizing, and presenting data in a format that is immediately useful to answering specific questions or improving system performance.…
Skills: Machine learning, Forecasting, Marketing",5,VTekis Consulting LLP,"San Jose, CA",Unknown,--,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable
106,Statistician- Hybrid,$33.29 - $59.15 Per Hour (Employer est.),"Working skills in statistical analysis, systems programming, database design and data security measures. Master's degree in Statistics or related field.…
Skills: Microsoft Powerpoint, Microsoft Excel, Biostatistics, Writing skills, R",3.9,UC San Diego Health,"San Diego, CA",10000+ Employees,1966,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
